State;City;Population;;;;
Rhode Island;Providence;179 154;;;;
California;El Toro;178 968;;;;
Nevada;Spring Valley;178 395;;;;
Florida;Fort Lauderdale;176 013;;;;
California;Garden Grove;175 078;;;;
California;Oceanside;174 558;;;;
California;Rancho Cucamonga;174 305;;;;
California;Santa Rosa;174 170;;;;
Florida;Port St. Lucie;174 110;;;;
Tennessee;Chattanooga;173 778;;;;
Arizona;Tempe;172 816;;;;
California;South Antelope Valley;171 490;;;;
Mississippi;Jackson;171 155;;;;
Florida;Cape Coral;169 854;;;;
Georgia;Northeast Cobb;169 756;;;;
Washington;Vancouver;169 294;;;;
California;Ontario;169 089;;;;
Florida;Kendall-Perrine;169 007;;;;
South Dakota;Sioux Falls;168 586;;;;
Arizona;Peoria;166 934;;;;
Missouri;Springfield;165 378;;;;
Florida;Pembroke Pines;164 626;;;;
California;Elk Grove;163 553;;;;
Oregon;Salem;161 637;;;;
California;Corona;161 486;;;;
California;Lancaster;161 043;;;;
Oregon;Eugene;160 561;;;;
California;Palmdale;158 279;;;;
California;Coachella Valley;156 830;;;;
Texas;McKinney;156 767;;;;
California;Salinas;156 677;;;;
Colorado;Fort Collins;156 480;;;;
North Carolina;Cary;155 227;;;;
California;Hayward;154 612;;;;
Massachusetts;Springfield;153 991;;;;
California;North Antelope Valley;153 969;;;;
Texas;Pasadena;153 887;;;;
California;Pomona;153 350;;;;
Florida;Sunshine Parkway;153 186;;;;
Virginia;Alexandria;150 575;;;;
California;Escondido;150 243;;;;
California;Sunnyvale;149 980;;;;
Colorado;Lakewood;149 643;;;;
Kansas;Kansas City;149 636;;;;
Illinois;Rockford;149 123;;;;
California;Torrance;148 495;;;;
Florida;Hollywood;148 047;;;;
Illinois;Joliet;147 928;;;;
Connecticut;Bridgeport;147 612;;;;
Tennessee;Clarksville;146 806;;;;
New Jersey;Paterson;146 753;;;;
Illinois;Naperville;146 128;;;;
Texas;Frisco;145 035;;;;
Texas;Mesquite;144 416;;;;
Georgia;Savannah;144 352;;;;
New York;Syracuse;144 263;;;;
Ohio;Dayton;141 003;;;;
California;Pasadena;140 881;;;;
California;Orange;139 812;;;;
California;Fullerton;139 677;;;;
Texas;McAllen;138 596;;;;
Louisiana;Metairie;138 481;;;;
Texas;Killeen;138 154;;;;
Virginia;Hampton;136 879;;;;
Washington;Bellevue;136 426;;;;
Georgia;Augusta;136 381;;;;
Michigan;Warren;135 099;;;;
Florida;Miramar;134 989;;;;
Utah;West Valley City;134 495;;;;
California;South Bay Cities;134 363;;;;
Kansas;Olathe;133 062;;;;
South Carolina;Columbia;132 067;;;;
Michigan;Sterling Heights;131 741;;;;
Colorado;Thornton;130 307;;;;
Connecticut;New Haven;130 282;;;;
Texas;Waco;130 194;;;;
South Carolina;Charleston;130 113;;;;
California;Thousand Oaks;129 342;;;;
California;Visalia;129 281;;;;
Iowa;Cedar Rapids;129 195;;;;
New Jersey;Elizabeth;128 705;;;;
California;Roseville;128 615;;;;
Florida;Gainesville;128 460;;;;
Texas;Carrollton;128 353;;;;
Connecticut;Stamford;128 278;;;;
Texas;Denton;128 205;;;;
Texas;Midland;128 037;;;;
Florida;Coral Springs;127 952;;;;
California;Concord;127 522;;;;
Kansas;Topeka;127 215;;;;
California;Simi Valley;126 871;;;;
New York;Ramapo;126 595;;;;
California;East Los Angeles;126 496;;;;
Arizona;Surprise;126 275;;;;
Louisiana;Lafayette;126 066;;;;
Washington;Kent;125 560;;;;
Florida;Southwest Orange;125 117;;;;
