State;City;Population;;;;
Massachusetts;West Springfield;28 582;;;;
California;South Coastside;28 564;;;;
Washington;North Creek;28 560;;;;
Utah;Herriman;28 556;;;;
Massachusetts;Northampton;28 554;;;;
Arizona;Kingman;28 549;;;;
New Jersey;Rahway;28 528;;;;
Texas;Harker Heights;28 526;;;;
Illinois;Lansing;28 522;;;;
Florida;Lake Magdalene;28 509;;;;
New Jersey;Millville;28 497;;;;
Maryland;Perry Hall;28 474;;;;
Texas;Big Spring;28 472;;;;
California;Arrowhead;28 450;;;;
New York;Gates;28 400;;;;
Missouri;Mehlville;28 380;;;;
Pennsylvania;Shaler Township;28 361;;;;
New York;Newburgh;28 358;;;;
Massachusetts;North Andover;28 352;;;;
Virginia;Fredericksburg;28 350;;;;
New York;West Islip;28 335;;;;
California;Tassajara;28 330;;;;
Tennessee;Maryville;28 329;;;;
Texas;Eagle Pass;28 329;;;;
Virginia;Jefferson;28 287;;;;
Pennsylvania;Monroeville;28 285;;;;
California;Monterey;28 276;;;;
Colorado;Castlewood;28 255;;;;
Ohio;Garfield Heights;28 229;;;;
California;Spring Valley;28 205;;;;
Illinois;Oak Forest;28 174;;;;
California;Desert Hot Springs;28 164;;;;
Utah;American Fork;28 152;;;;
New York;Harrison;28 151;;;;
Tennessee;Concord;28 138;;;;
Florida;Parkland;28 131;;;;
Washington;SeaTac;28 126;;;;
Louisiana;Central;28 119;;;;
Kansas;Dodge City;28 117;;;;
New Mexico;Carlsbad;28 103;;;;
New York;Vestal;28 043;;;;
Pennsylvania;Drexel Hill;28 043;;;;
California;San Lorenzo Valley;28 033;;;;
Minnesota;Oakdale;28 033;;;;
Connecticut;Branford;28 026;;;;
Illinois;Round Lake Beach;28 012;;;;
Massachusetts;Wellesley;27 982;;;;
Nevada;Winchester;27 978;;;;
Pennsylvania;Municipality of Monroeville;27 973;;;;
Massachusetts;Melrose;27 969;;;;
Oregon;Redmond;27 941;;;;
California;Maywood;27 937;;;;
California;Benicia;27 930;;;;
New York;Queensbury;27 901;;;;
New York;Shirley;27 854;;;;
Georgia;Woodstock;27 823;;;;
Virginia;Sterling;27 822;;;;
North Carolina;Garner;27 814;;;;
South Dakota;Aberdeen;27 800;;;;
Ohio;Shaker Heights;27 790;;;;
West Virginia;Wheeling;27 790;;;;
Alabama;Enterprise;27 772;;;;
Texas;Weatherford;27 769;;;;
Illinois;Glen Ellyn;27 763;;;;
Arizona;Drexel Heights;27 749;;;;
New York;Deer Park;27 745;;;;
New York;Middletown;27 728;;;;
Iowa;Marshalltown;27 727;;;;
Arkansas;Bella Vista;27 688;;;;
South Carolina;Greer;27 676;;;;
Minnesota;Fridley;27 670;;;;
New Jersey;Englewood;27 670;;;;
Georgia;Tybee Island-Wilmington;27 669;;;;
Pennsylvania;McCandless Township;27 661;;;;
Missouri;Kirkwood;27 660;;;;
Colorado;Fountain;27 631;;;;
Hawaii;Mililani Town;27 629;;;;
Louisiana;Slidell;27 622;;;;
Georgia;Stockbridge;27 619;;;;
Texas;Lake Jackson;27 604;;;;
New York;Watertown;27 590;;;;
Georgia;Tucker;27 581;;;;
Michigan;Allen Park;27 566;;;;
Kentucky;Frankfort;27 557;;;;
Arizona;Sahuarita;27 547;;;;
Virginia;Winchester;27 543;;;;
Texas;Midland Rural;27 540;;;;
Pennsylvania;Plum;27 532;;;;
Illinois;West Chicago;27 507;;;;
North Carolina;Cornelius;27 481;;;;
Arkansas;Paragould;27 465;;;;
Iowa;Mason City;27 458;;;;
Illinois;Wilmette;27 446;;;;
New York;Saratoga Springs;27 436;;;;
California;Windsor;27 414;;;;
New Jersey;Bergenfield;27 406;;;;
Missouri;Maryland Heights;27 405;;;;
Minnesota;Winona;27 384;;;;
Connecticut;New London;27 374;;;;
Maryland;Crofton;27 348;;;;
New York;Lindenhurst;27 321;;;;
New York;Glen Cove;27 314;;;;
New Jersey;Mercerville-Hamilton Square;27 308;;;;
Washington;Opportunity;27 300;;;;
Washington;Spanaway;27 227;;;;
New York;Holbrook;27 195;;;;
South Carolina;Anderson;27 181;;;;
Illinois;Alton;27 177;;;;
Wisconsin;Fitchburg;27 154;;;;
California;Imperial Beach;27 149;;;;
Utah;Holladay;27 129;;;;
Florida;Fleming Island;27 126;;;;
Idaho;Rexburg;27 094;;;;
Colorado;Lafayette;27 081;;;;
California;Belmont;27 073;;;;
Michigan;Garden City;27 052;;;;
Pennsylvania;Easton;27 052;;;;
Washington;Paine Field-Lake Stickney;27 052;;;;
New York;Wappinger;27 048;;;;
Texas;Seguin;27 041;;;;
New York;Auburn;27 019;;;;
Kansas;Garden City;27 004;;;;
Massachusetts;Milton;27 003;;;;
North Carolina;Thomasville;27 002;;;;
Florida;University Park;26 995;;;;
Massachusetts;Stoughton;26 962;;;;
California;Norco;26 959;;;;
Alabama;Bessemer;26 949;;;;
Kentucky;Jeffersontown;26 949;;;;
California;Eureka;26 925;;;;
Florida;Cutler Ridge;26 918;;;;
Arizona;Florence;26 912;;;;
Oregon;Tualatin;26 907;;;;
Louisiana;Prairieville;26 895;;;;
New York;Dix Hills;26 892;;;;
Illinois;Kankakee;26 860;;;;
New Jersey;Paramus;26 832;;;;
Missouri;Gladstone;26 800;;;;
Mississippi;Horn Lake;26 766;;;;
Michigan;Plymouth Township;26 751;;;;
Tennessee;Bristol;26 729;;;;
Florida;Casselberry;26 707;;;;
Wisconsin;Superior;26 705;;;;
Georgia;Carrollton;26 690;;;;
Illinois;East St. Louis;26 672;;;;
Connecticut;Wethersfield;26 668;;;;
Wisconsin;Stevens Point;26 658;;;;
Utah;Syracuse;26 639;;;;
Illinois;McHenry;26 630;;;;
Massachusetts;Saugus;26 628;;;;
New Jersey;Livingston;26 590;;;;
New Jersey;Nutley;26 562;;;;
Connecticut;Mansfield;26 543;;;;
Ohio;Wooster;26 540;;;;
Texas;Kingsville;26 529;;;;
Ohio;Medina;26 523;;;;
California;Lemon Grove;26 511;;;;
Utah;Magna;26 505;;;;
Nebraska;Fremont;26 500;;;;
Massachusetts;Danvers;26 493;;;;
Rhode Island;North Kingstown;26 486;;;;
New York;Smithtown;26 470;;;;
New Mexico;South Dona Ana;26 463;;;;
California;Paradise;26 449;;;;
Kentucky;Pleasure Ridge Park;26 433;;;;
Illinois;Batavia;26 424;;;;
Connecticut;Westport;26 391;;;;
Mississippi;Pearl;26 388;;;;
Kentucky;Independence;26 378;;;;
Hawaii;Kahului;26 337;;;;
New York;Bay Shore;26 337;;;;
Illinois;Carbondale;26 324;;;;
California;Wasco;26 303;;;;
Ohio;Barberton;26 302;;;;
Wisconsin;Mount Pleasant;26 293;;;;
Oregon;West Linn;26 289;;;;
Arizona;Fortuna Foothills;26 265;;;;
Nevada;Warm Springs-Truckee Canyon;26 247;;;;
Iowa;Clinton;26 246;;;;
New York;Plainview;26 217;;;;
New Jersey;West Milford;26 208;;;;
Minnesota;Shoreview;26 194;;;;
Texas;South Brazos;26 187;;;;
Texas;Greenville;26 180;;;;
Maryland;Laurel;26 160;;;;
California;South Pasadena;26 156;;;;
Pennsylvania;Back Mountain;26 134;;;;
Florida;Four Corners;26 116;;;;
Maryland;South Laurel;26 112;;;;
Tennessee;St. Bethlehem;26 101;;;;
Georgia;South Rockdale;26 083;;;;
Florida;Buenaventura Lakes;26 079;;;;
Florida;Rockledge;26 071;;;;
Michigan;Mount Pleasant;25 971;;;;
Maryland;Reisterstown;25 968;;;;
Ohio;Green;25 917;;;;
Illinois;Vernon Hills;25 911;;;;
Ohio;Xenia;25 911;;;;
California;Twentynine Palms;25 902;;;;
North Carolina;Asheboro;25 886;;;;
Michigan;Forest Hills;25 867;;;;
Wisconsin;Neenah;25 855;;;;
New York;De Witt;25 838;;;;
Maryland;Suitland;25 825;;;;
California;Brawley;25 820;;;;
Alabama;Homewood;25 802;;;;
Delaware;Upper Christiana;25 793;;;;
Indiana;Zionsville;25 734;;;;
North Carolina;Statesville;25 722;;;;
Connecticut;South Windsor;25 709;;;;
Florida;Key West;25 704;;;;
Missouri;Hazelwood;25 666;;;;
Arkansas;Cabot;25 627;;;;
Minnesota;Owatonna;25 625;;;;
Illinois;Huntley;25 603;;;;
Minnesota;Ramsey;25 598;;;;
Utah;Eagle Mountain;25 593;;;;
Pennsylvania;Lebanon;25 573;;;;
Ohio;Troy;25 564;;;;
Maryland;Edgewood;25 562;;;;
Florida;Meadow Woods;25 558;;;;
California;West Whittier-Los Nietos;25 540;;;;
Iowa;Burlington;25 539;;;;
Texas;Alvin;25 525;;;;
Illinois;Melrose Park;25 511;;;;
New Jersey;Cliffside Park;25 503;;;;
New Jersey;Ridgewood;25 496;;;;
New Hampshire;Merrimack;25 494;;;;
Virginia;Salem;25 483;;;;
California;Lafayette;25 473;;;;
Washington;Picnic Point-North Lynnwood;25 465;;;;
Mississippi;Madison;25 455;;;;
California;Reedley;25 426;;;;
Illinois;New Lenox;25 426;;;;
Maine;South Portland;25 424;;;;
Arkansas;West Memphis;25 423;;;;
Florida;Temple Terrace;25 419;;;;
Mississippi;Clinton;25 411;;;;
Ohio;Zanesville;25 372;;;;
New York;Ossining;25 359;;;;
Oklahoma;Yukon;25 349;;;;
Illinois;Harvey;25 347;;;;
New Jersey;Bridgeton;25 347;;;;
Ohio;Sandusky;25 346;;;;
Connecticut;Farmington;25 340;;;;
California;Soledad;25 336;;;;
Maryland;Lochearn;25 333;;;;
Missouri;Grandview;25 290;;;;
Illinois;Belvidere;25 282;;;;
Texas;Cibolo;25 280;;;;
Connecticut;Windham;25 268;;;;
Oklahoma;Ardmore;25 226;;;;
Maryland;Middle River;25 191;;;;
California;Lemoore;25 186;;;;
Illinois;Woodstock;25 178;;;;
Michigan;Wyandotte;25 151;;;;
Washington;Maple Valley;25 125;;;;
Texas;Balch Springs;25 120;;;;
Illinois;Lockport;25 119;;;;
California;Hercules;25 086;;;;
North Carolina;Mint Hill;25 076;;;;
Massachusetts;Milford;25 055;;;;
Ohio;Riverside;25 040;;;;
Minnesota;Prior Lake;25 039;;;;
Minnesota;White Bear Lake;24 986;;;;
Florida;Norland;24 978;;;;
Kentucky;Paducah;24 978;;;;
Minnesota;Chanhassen;24 967;;;;
Florida;Interlachen-Florahome;24 964;;;;
Illinois;Westmont;24 963;;;;
Illinois;Elmwood Park;24 954;;;;
Texas;Colleyville;24 952;;;;
Texas;South Rockwall;24 939;;;;
Massachusetts;Wakefield;24 932;;;;
Pennsylvania;Hazleton;24 932;;;;
Virginia;Cave Spring;24 922;;;;
California;North Tustin;24 917;;;;
Nebraska;Hastings;24 915;;;;
California;Coronado;24 910;;;;
California;Tustin Foothills;24 898;;;;
Texas;Paris;24 895;;;;
Mississippi;Starkville;24 886;;;;
Illinois;Collinsville;24 883;;;;
California;Russian River-Coastal;24 878;;;;
Illinois;Freeport;24 851;;;;
Minnesota;Chaska;24 838;;;;
California;Vineyard;24 836;;;;
South Carolina;Mauldin;24 823;;;;
California;Galt;24 817;;;;
California;Sanger;24 810;;;;
Georgia;Canton;24 801;;;;
Michigan;Inkster;24 786;;;;
Idaho;Moscow;24 767;;;;
Oklahoma;Ponca City;24 766;;;;
New York;Uniondale;24 759;;;;
Illinois;Edwardsville;24 758;;;;
Utah;South Salt Lake;24 748;;;;
Massachusetts;Reading;24 747;;;;
Oregon;Woodburn;24 734;;;;
Massachusetts;Belmont;24 729;;;;
Massachusetts;Dedham;24 729;;;;
Virginia;Short Pump;24 729;;;;
Minnesota;Austin;24 716;;;;
Alabama;Northport;24 709;;;;
Wisconsin;Caledonia;24 708;;;;
Texas;Marshall;24 701;;;;
Iowa;Ottumwa;24 682;;;;
Kansas;Junction City;24 665;;;;
California;Seal Beach;24 662;;;;
New Jersey;Lodi;24 654;;;;
Alabama;Smiths;24 633;;;;
Wisconsin;Muskego;24 621;;;;
California;El Cerrito;24 599;;;;
Iowa;Fort Dodge;24 594;;;;
California;San Fernando;24 587;;;;
North Dakota;Williston;24 562;;;;
Kansas;Emporia;24 560;;;;
Wisconsin;De Pere;24 555;;;;
Virginia;Herndon;24 554;;;;
Virginia;Staunton;24 538;;;;
Arizona;Sun City West;24 535;;;;
Alabama;Athens;24 522;;;;
Florida;Palmetto Bay;24 513;;;;
Texas;San Benito;24 506;;;;
Massachusetts;Burlington;24 498;;;;
Virginia;Fairfax;24 483;;;;
Michigan;Walker;24 468;;;;
New Mexico;Red Rock;24 465;;;;
Nebraska;Norfolk;24 444;;;;
Idaho;Thornton;24 416;;;;
Maryland;North Potomac;24 410;;;;
Texas;University Park;24 396;;;;
Alabama;Daphne;24 395;;;;
Florida;Coral Terrace;24 376;;;;
Illinois;Homer Glen;24 364;;;;
Indiana;Franklin;24 356;;;;
Utah;Saratoga Springs;24 356;;;;
Texas;Watauga;24 345;;;;
Maryland;Scaggsville;24 333;;;;
Nebraska;North Platte;24 327;;;;
Washington;Mercer Island;24 326;;;;
Florida;Boca Del Mar;24 318;;;;
Florida;Central Volusia;24 310;;;;
California;Calabasas;24 296;;;;
California;Cudahy;24 291;;;;
Maryland;Pasadena;24 287;;;;
California;Selma;24 283;;;;
Colorado;Columbine;24 280;;;;
Illinois;Rolling Meadows;24 279;;;;
Illinois;Zion;24 264;;;;
Virginia;South Riding;24 256;;;;
Florida;Citrus Park;24 252;;;;
Florida;Tarpon Springs;24 239;;;;
Mississippi;Ridgeland;24 221;;;;
Utah;Bingham;24 210;;;;
New York;Rockville Centre;24 191;;;;
Ohio;Trotwood;24 171;;;;
Wyoming;Wind River;24 157;;;;
Florida;Immokalee;24 154;;;;
New York;Medford;24 142;;;;
Illinois;Maywood;24 133;;;;
Maryland;Greenbelt;24 125;;;;
New Jersey;Carteret;24 114;;;;
Connecticut;North Haven;24 093;;;;
Rhode Island;Newport;24 089;;;;
Nevada;Summerlin South;24 085;;;;
Michigan;Norton Shores;24 081;;;;
New York;Peekskill;24 058;;;;
Michigan;Saginaw Township North;24 050;;;;
Wyoming;Rock Springs;24 045;;;;
Colorado;Central Jefferson;24 039;;;;
Florida;Keystone;24 039;;;;
New York;Baldwin;24 033;;;;
Ohio;Athens;24 024;;;;
Oklahoma;Bixby;24 008;;;;
California;Colfax-Summit;24 007;;;;
Texas;Corsicana;23 989;;;;
Arkansas;Searcy;23 983;;;;
Michigan;Holt;23 973;;;;
Florida;Golden Gate;23 961;;;;
New Jersey;South Plainfield;23 960;;;;
Michigan;Waverly;23 925;;;;
Ohio;Centerville;23 915;;;;
Wisconsin;Watertown;23 891;;;;
Iowa;Muscatine;23 888;;;;
Florida;Greater Northdale;23 859;;;;
California;Loma Linda;23 853;;;;
California;Bloomington;23 851;;;;
Minnesota;Champlin;23 828;;;;
Pennsylvania;Springfield;23 802;;;;
California;Riverbank;23 798;;;;
Massachusetts;Yarmouth;23 793;;;;
Oklahoma;East Cleveland;23 792;;;;
Utah;East Millcreek;23 790;;;;
Illinois;Blue Island;23 785;;;;
New Jersey;Old Bridge;23 753;;;;
Minnesota;Elk River;23 746;;;;
Maryland;Greater Landover;23 741;;;;
North Carolina;Kernersville;23 739;;;;
Maryland;Fort Washington;23 717;;;;
Maryland;Fairland;23 681;;;;
Texas;Sachse;23 681;;;;
California;Dinuba;23 667;;;;
Florida;New Smyrna Beach;23 658;;;;
Virginia;Bailey's Crossroads;23 643;;;;
Georgia;Gray-Griswold;23 626;;;;
Minnesota;Faribault;23 594;;;;
Arizona;Fountain Hills;23 573;;;;
New York;Kingston;23 557;;;;
Florida;Hialeah Gardens;23 555;;;;
Illinois;Loves Park;23 551;;;;
Kentucky;Valley Station;23 531;;;;
Connecticut;Simsbury;23 511;;;;
Wisconsin;Mequon;23 509;;;;
California;Barstow;23 498;;;;
Illinois;Morton Grove;23 497;;;;
Michigan;Romulus;23 496;;;;
Washington;Graham;23 491;;;;
Maryland;Ilchester;23 476;;;;
Florida;Bayonet Point;23 467;;;;
California;San Lorenzo;23 452;;;;
California;Sun City;23 436;;;;
Mississippi;Vicksburg;23 392;;;;
Illinois;East Peoria;23 375;;;;
Utah;Washington;23 360;;;;
Florida;Bellview;23 355;;;;
Florida;Sebastian;23 344;;;;
California;Laguna Beach;23 341;;;;
Georgia;Griffin;23 329;;;;
Indiana;Brownsburg;23 322;;;;
Louisiana;Terrytown;23 319;;;;
Illinois;Dolton;23 307;;;;
Washington;Bainbridge Island;23 293;;;;
Nebraska;Papillion;23 270;;;;
Mississippi;Columbus;23 248;;;;
South Carolina;Greenwood;23 236;;;;
Kansas;Derby;23 234;;;;
South Dakota;Brookings;23 225;;;;
Ohio;Avon Lake;23 204;;;;
Missouri;Webster Groves;23 186;;;;
Massachusetts;Mansfield;23 184;;;;
Oklahoma;Duncan;23 173;;;;
New Jersey;Maplewood;23 170;;;;
Missouri;Belton;23 165;;;;
Mississippi;Brandon;23 156;;;;
Florida;East Marion;23 131;;;;
Florida;Wright;23 127;;;;
Indiana;Highland;23 127;;;;
Florida;Palm City;23 120;;;;
Massachusetts;Middleborough;23 116;;;;
Massachusetts;Easton;23 112;;;;
Maryland;Arnold;23 106;;;;
Indiana;Munster;23 103;;;;
New York;Onondaga;23 101;;;;
California;Isla Vista;23 096;;;;
Florida;East Wakulla;23 096;;;;
Oregon;Forest Grove;23 096;;;;
Florida;Vero Beach South;23 092;;;;
Florida;Northwest Leon;23 081;;;;
Maryland;Landover;23 078;;;;
Ohio;Solon;23 075;;;;
Arkansas;Van Buren;23 070;;;;
California;French Valley;23 067;;;;
Virginia;Chantilly;23 039;;;;
Illinois;Machesney Park;23 036;;;;
New Hampshire;Keene;23 034;;;;
Illinois;Roselle;23 030;;;;
Georgia;Candler-McAfee;23 025;;;;
Colorado;South Jefferson;23 024;;;;
Georgia;McDonough;23 004;;;;
Minnesota;Rosemount;22 998;;;;
New York;Copiague;22 993;;;;
California;Ladera Ranch;22 980;;;;
Florida;Crestview;22 955;;;;
Kentucky;Radcliff;22 952;;;;
Texas;Cloverleaf;22 942;;;;
Texas;Northwest Grayson;22 934;;;;
Texas;West Tom Green;22 925;;;;
Maine;Auburn;22 912;;;;
Texas;Denison;22 907;;;;
Texas;Kerrville;22 905;;;;
Virginia;Lincolnia;22 855;;;;
Florida;Myakka;22 834;;;;
Illinois;Lisle;22 827;;;;
California;Valinda;22 822;;;;
California;Corcoran;22 815;;;;
South Carolina;St. Helena;22 796;;;;
Florida;Fellowship;22 788;;;;
North Carolina;Morrisville;22 772;;;;
Florida;The Crossings;22 758;;;;
California;Lennox;22 753;;;;
Florida;East Lake-Orient Park;22 753;;;;
Ohio;Maple Heights;22 735;;;;
Florida;Bloomingdale;22 711;;;;
Ohio;Marysville;22 708;;;;
Texas;West Odessa;22 707;;;;
Washington;Inglewood-Finn Hill;22 707;;;;
California;Millbrae;22 703;;;;
Alabama;Pelham;22 699;;;;
Oregon;Newberg;22 692;;;;
Hawaii;Ewa Gentry;22 690;;;;
Florida;Oak Ridge;22 685;;;;
Pennsylvania;Pottstown;22 684;;;;
California;Rosemont;22 681;;;;
Florida;Jacksonville Beach;22 665;;;;
Florida;Leisure City;22 655;;;;
North Carolina;Fuquay-Varina;22 644;;;;
California;West Puente Valley;22 636;;;;
Nebraska;Columbus;22 630;;;;
New York;Garden City;22 616;;;;
Florida;Estero;22 612;;;;
Minnesota;Crystal;22 605;;;;
New Jersey;Scotch Plains;22 583;;;;
Pennsylvania;New Castle;22 575;;;;
Minnesota;Farmington;22 571;;;;
Minnesota;Hastings;22 566;;;;
California;Temescal Valley;22 535;;;;
Illinois;Goodings Grove;22 530;;;;
Connecticut;Watertown;22 514;;;;
Idaho;Eagle;22 502;;;;
Washington;Cottage Lake;22 494;;;;
New Mexico;Gallup;22 469;;;;
New York;East Patchogue;22 469;;;;
Virginia;West Springfield;22 460;;;;
Alabama;Anniston;22 457;;;;
Ohio;Willoughby;22 453;;;;
Ohio;Hudson;22 448;;;;
New Jersey;Cranford;22 430;;;;
Texas;Benbrook;22 419;;;;
Florida;Holiday;22 403;;;;
Connecticut;Guilford;22 375;;;;
Massachusetts;Wilmington;22 325;;;;
North Dakota;Dickinson;22 322;;;;
Illinois;Darien;22 315;;;;
Alabama;Prichard;22 312;;;;
Washington;Oak Harbor;22 306;;;;
Ohio;Avon;22 302;;;;
Louisiana;Ruston;22 301;;;;
South Carolina;North Augusta;22 300;;;;
Illinois;Bloomingdale;22 299;;;;
Minnesota;New Brighton;22 266;;;;
Georgia;Pooler;22 251;;;;
New York;Kiryas Joel;22 246;;;;
Illinois;South Elgin;22 226;;;;
Mississippi;Pascagoula;22 224;;;;
Virginia;Hopewell;22 196;;;;
Florida;South Bradenton;22 178;;;;
Georgia;Huntsville;22 178;;;;
Utah;Farmington;22 159;;;;
Illinois;South Holland;22 144;;;;
California;Port Hueneme;22 139;;;;
Rhode Island;Bristol;22 139;;;;
Michigan;Hamtramck;22 099;;;;
New York;Merrick;22 097;;;;
New Jersey;Somerset;22 083;;;;
Florida;Northdale;22 079;;;;
Ohio;Alliance;22 078;;;;
Florida;Haines City;22 072;;;;
New Jersey;Summit;22 071;;;;
South Dakota;Watertown;22 057;;;;
Florida;Princeton;22 038;;;;
Illinois;Villa Park;22 038;;;;
Illinois;Park Forest;22 034;;;;
New Jersey;North Plainfield;22 029;;;;
Oregon;Wilsonville;22 026;;;;
New Hampshire;Derry;22 015;;;;
Oklahoma;Del City;22 008;;;;
Indiana;La Porte;22 007;;;;
California;Duarte;22 006;;;;
Florida;Wekiwa Springs;21 998;;;;
Massachusetts;Westford;21 951;;;;
California;Mira Loma;21 930;;;;
California;Ashland;21 925;;;;
Massachusetts;Acton;21 924;;;;
Oregon;Roseburg;21 903;;;;
California;Santa Ynez Valley;21 898;;;;
Ohio;Wadsworth;21 893;;;;
Indiana;Clarksville;21 879;;;;
Kansas;Prairie Village;21 877;;;;
Ohio;South Euclid;21 869;;;;
Georgia;Acworth;21 867;;;;
Delaware;Central Kent;21 857;;;;
California;Oakdale;21 854;;;;
Michigan;Auburn Hills;21 845;;;;
Washington;Kenmore;21 839;;;;
Illinois;Charleston;21 838;;;;
Massachusetts;Wareham;21 822;;;;
Virginia;Christiansburg;21 805;;;;
Florida;Brent;21 804;;;;
New York;Le Ray;21 782;;;;
Ohio;Oxford;21 782;;;;
Texas;Brushy Creek;21 764;;;;
New York;Lysander;21 759;;;;
Mississippi;Oxford;21 757;;;;
Florida;Westchase;21 747;;;;
Illinois;Geneva;21 742;;;;
Ohio;Chillicothe;21 738;;;;
Florida;Venice;21 730;;;;
Florida;Palm Springs;21 728;;;;
North Carolina;Lumberton;21 716;;;;
Washington;Moses Lake;21 713;;;;
Texas;Saginaw;21 703;;;;
Arizona;Anthem;21 700;;;;
California;West Carson;21 699;;;;
Tennessee;Farragut;21 687;;;;
New York;Massapequa;21 685;;;;
South Carolina;Taylors;21 617;;;;
New Jersey;Hillside;21 605;;;;
New Hampshire;Portsmouth;21 598;;;;
Texas;Goldsmith-Penwell;21 573;;;;
New York;Hyde Park;21 571;;;;
California;Lake Mathews;21 561;;;;
Massachusetts;Canton;21 561;;;;
Florida;Fort Walton Beach;21 558;;;;
Pennsylvania;Allison Park;21 552;;;;
New Jersey;Roselle;21 551;;;;
New York;Halfmoon;21 535;;;;
California;South Lake Tahoe;21 529;;;;
Florida;West and East Lealman;21 528;;;;
Florida;Leesburg;21 524;;;;
Montana;Kalispell;21 518;;;;
Missouri;Sedalia;21 492;;;;
California;Yucca Valley;21 485;;;;
Florida;Dania Beach;21 477;;;;
South Carolina;Shaw-Horatio;21 462;;;;
Alabama;Albertville;21 458;;;;
Michigan;Marquette;21 441;;;;
Massachusetts;Stoneham;21 437;;;;
Rhode Island;Smithfield;21 430;;;;
Texas;Southeast Bexar;21 430;;;;
Indiana;Greenfield;21 398;;;;
North Carolina;Kinston;21 392;;;;
Arizona;Green Valley;21 391;;;;
Massachusetts;Winchester;21 374;;;;
Michigan;Okemos;21 369;;;;
Ohio;Perrysburg;21 368;;;;
Virginia;Waynesboro;21 366;;;;
California;Bay Point;21 349;;;;
Florida;West Pensacola;21 339;;;;
Maine;Biddeford;21 337;;;;
Kentucky;Ashland;21 335;;;;
Tennessee;East Ridge;21 317;;;;
South Carolina;Brushy Creek;21 300;;;;
Florida;Glades;21 290;;;;
Texas;Canyon Lake;21 262;;;;
Missouri;Arnold;21 243;;;;
Wisconsin;South Milwaukee;21 236;;;;
Washington;Camas;21 220;;;;
California;Patterson;21 212;;;;
California;Rancho San Diego;21 208;;;;
New Hampshire;Bedford;21 203;;;;
Illinois;East Moline;21 175;;;;
Texas;Hutto;21 170;;;;
Texas;Plainview;21 166;;;;
Kentucky;Newburg;21 162;;;;
Alabama;Oxford;21 155;;;;
Texas;Cedar Creek-Red Rock;21 132;;;;
Florida;Edgewater;21 121;;;;
Oregon;Klamath Falls;21 119;;;;
Colorado;Windsor;21 106;;;;
Rhode Island;Lincoln;21 105;;;;
Utah;Clinton;21 104;;;;
Massachusetts;Ludlow;21 103;;;;
Missouri;Ferguson;21 086;;;;
Texas;Converse;21 054;;;;
Kansas;Hays;21 044;;;;
Hawaii;Mililani Mauka;21 039;;;;
Tennessee;Shelbyville;21 037;;;;
Florida;Palm River-Clair Mel;21 024;;;;
Illinois;Grayslake;21 018;;;;
Kansas;Liberal;21 012;;;;
Washington;Mukilteo;20 993;;;;
Virginia;Chester;20 987;;;;
North Carolina;Carrboro;20 984;;;;
Florida;Naples;20 968;;;;
Minnesota;Lino Lakes;20 948;;;;
Texas;Midlothian;20 934;;;;
Wisconsin;Grand Chute;20 919;;;;
Maine;Sanford;20 906;;;;
Ohio;Sidney;20 905;;;;
Tennessee;Almaville;20 899;;;;
Washington;Silver Firs;20 891;;;;
New York;Hauppauge;20 882;;;;
Hawaii;Kihei;20 881;;;;
Texas;East Cameron;20 879;;;;
Minnesota;Golden Valley;20 866;;;;
Oklahoma;Southeast Osage;20 850;;;;
California;Agoura Hills;20 843;;;;
Michigan;Adrian;20 840;;;;
Texas;Corinth;20 836;;;;
Utah;Cottonwood West;20 833;;;;
Georgia;Sugar Hill;20 821;;;;
North Dakota;Mandan;20 820;;;;
California;Marina;20 817;;;;
Washington;Mountlake Terrace;20 817;;;;
Minnesota;New Hope;20 792;;;;
Florida;Lake Worth Corridor;20 788;;;;
California;Greenfield-Panama;20 776;;;;
Maryland;Cockeysville;20 776;;;;
Illinois;Crest Hill;20 771;;;;
California;Lomita;20 768;;;;
California;North Coastal;20 764;;;;
Ohio;Piqua;20 759;;;;
Michigan;Birmingham;20 757;;;;
New York;Lockport;20 743;;;;
Alabama;Mountain Brook;20 734;;;;
Connecticut;Darien;20 732;;;;
North Carolina;Havelock;20 706;;;;
Alabama;Trussville;20 702;;;;
Oregon;Ashland;20 684;;;;
Kansas;Gardner;20 667;;;;
California;La Canada Flintridge;20 662;;;;
New York;Rotterdam;20 652;;;;
California;Lakeside;20 648;;;;
Oregon;Bethany;20 646;;;;
Texas;Roma-Los Saenz;20 644;;;;
Oregon;Milwaukie;20 640;;;;
California;Winter Gardens;20 631;;;;
South Carolina;Wade Hampton;20 622;;;;
Florida;Ensley;20 602;;;;
Pennsylvania;Chambersburg;20 602;;;;
California;Arvin;20 583;;;;
Missouri;Nixa;20 570;;;;
California;South El Monte;20 569;;;;
California;South San Jose Hills;20 551;;;;
South Carolina;Easley;20 549;;;;
Illinois;Libertyville;20 512;;;;
Colorado;Erie;20 493;;;;
South Carolina;St. Andrews;20 493;;;;
Minnesota;South St. Paul;20 487;;;;
Connecticut;Bloomfield;20 486;;;;
Maryland;Arbutus;20 483;;;;
Colorado;Evans;20 473;;;;
New Jersey;Palisades Park;20 471;;;;
California;American Canyon;20 470;;;;
New Jersey;Pleasantville;20 467;;;;
Florida;Fort McCoy-Anthony;20 434;;;;
New York;Somers;20 434;;;;
Ohio;Lebanon;20 434;;;;
