count,mass
4.0,16.0
3.0,28.0
2.0,349.0
2.0,152.0
3.0,17.0
14.0,94.0
2.0,136.0
3.0,15.0
1.0,18.0
3.0,2.0
2.0,30.0
1.0,68.0
1.0,12.0
7.0,25.0
1.0,5.0
7.0,22.0
4.0,5.0
74.0,129.0
91.0,302.0
37.0,51.0
12.0,32.0
10.0,75.0
4.0,1.0
21.0,50.0
1.0,89.0
6.0,10.0
3.0,25.0
1.0,198.0
4.0,7.0
7.0,61.0
5.0,1.0
16.0,40.0
2.0,11.0
14.0,9.0
6.0,6.0
1.0,0.0
1.0,1.0
3.0,4.0
1.0,1.0
21.0,3.0
5.0,3.0
1.0,1.0
2.0,1.0
1.0,2.0
1.0,1.0
47.0,12.0
2.0,12.0
7.0,6.0
6.0,3.0
8.0,5.0
1.0,1.0
3.0,2.0
1.0,1.0
2.0,2.0
1.0,9.0
4.0,4.0
11.0,7.0
113.0,56.0
42.0,72.0
1.0,13.0
1.0,14.0
21.0,19.0
2.0,1.0
1294.0,952.0
43.0,10.0
1.0,1.0
1.0,1.0
1.0,6.0
1.0,1.0
2.0,6.0
5.0,1.0
1.0,5.0
5.0,1.0
10.0,3.0
2.0,2.0
1.0,0.0
1.0,1.0
1.0,2.0
1.0,0.0
1.0,0.0
2.0,15.0
6.0,6.0
11.0,9.0
1.0,3.0
36.0,14.0
5.0,12.0
2.0,5.0
26.0,4.0
18.0,7.0
2.0,4.0
2.0,3.0
1.0,2.0
2.0,5.0
7.0,6.0
1.0,29.0
117.0,32.0
4.0,11.0
2.0,1.0
1.0,2.0
3.0,1.0
1.0,0.0
10.0,2637.0
2.0,44.0
3.0,7.0
3.0,204.0
1.0,68.0
1.0,1.0
1.0,1.0
1.0,2.0
3.0,34.0
3.0,98.0
9.0,24399.0
2.0,22.0
6.0,57.0
2.0,5.0
3.0,9.0
2.0,0.0
1.0,5.0
189.0,1998.0
1.0,1.0
3.0,1115.0
6.0,112.0
8.0,21.0
2.0,6.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
27.0,21.0
2.0,14.0
1.0,1.0
6.0,2.0
1.0,1.0
9.0,1.0
5.0,3.0
1.0,0.0
1.0,1.0
2.0,5.0
2.0,1.0
5.0,3.0
1.0,33.0
1.0,375.0
51.0,76.0
1.0,6.0
2.0,39.0
10.0,21.0
1.0,1.0
2.0,2.0
1.0,37.0
1.0,1.0
4.0,6.0
2.0,23.0
1.0,2.0
1.0,1.0
1.0,1.0
3.0,15.0
1.0,52.0
11.0,3942.0
1.0,31.0
1.0,4.0
1.0,0.0
1.0,1.0
1.0,2.0
3.0,1.0
1.0,3.0
1.0,3.0
3.0,1.0
2.0,4.0
1.0,3.0
3.0,8.0
4.0,13.0
1.0,1.0
2.0,127.0
2.0,1.0
2.0,64.0
2.0,3.0
1.0,9.0
2.0,3.0
1.0,2.0
1.0,3.0
2.0,272.0
1.0,35.0
4.0,1079.0
5.0,331.0
12.0,14.0
1.0,69.0
3.0,13.0
6.0,25.0
2.0,4.0
25.0,10.0
1.0,1.0
9.0,5.0
2.0,495.0
1.0,3.0
1.0,17.0
1.0,31.0
1.0,1.0
3.0,21.0
2.0,111.0
2.0,1.0
3.0,1.0
1.0,1.0
1.0,1.0
2.0,2.0
1.0,1.0
4.0,0.0
1.0,0.0
6.0,5.0
2.0,0.0
8.0,16.0
20.0,200.0
10.0,22.0
32.0,76.0
5.0,3.0
6.0,2.0
1.0,1.0
1.0,30.0
2.0,4.0
1.0,2.0
2.0,12.0
3.0,4.0
1.0,1.0
2.0,1.0
