#source: https://catalogue.data.govt.nz/dataset/marine-litter-2018-2019
SurveyArea,SurveyDate,SurveyId,Region,MonitoringSite,SurveyLengthMeters,AboveHighTideMeters,BelowHighTideMeters,SurveyStartDateTime,SurveyEndDateTime,TotalNumberOfCitizenScientists,AuditStartDateTime,AuditEndDateTime,NumberOfAuditors,LitterCategory,LitterItem,Count,Weight,WeightConfidence,Grade,SurveyAreaLatitudeStart,SurveyAreaLongitudeStart,SurveyAreaLatitudeEnd,SurveyAreaLongitudeEnd
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Rubber,Unidentifiable rubber fragments,1,5,High,N/A,-41.14591,173.00091,-41.14538,173.00188
"Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Cloth,""Clothing, hats, gloves & towels"",6,2281,Low,N/A,-41.14591,173.00091,-41.14538,173.00188"
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Plastic,Gardening & farming related,10,3434,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Plastic,Food wrappers,87,614,Low,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Rubber,Tyres,1,8750,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Metal,Metal vehicle parts,1,8560,High,N/A,-41.14591,173.00091,-41.14538,173.00188
"Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Plastic,""Bottles, drums, jerrycans & buckets > 2 L"",5,3548,High,N/A,-41.14591,173.00091,-41.14538,173.00188"
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Other,Appliances & electronics,2,3330,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Wood,Processed timber & pallet crates,4,660,High,N/A,-41.14591,173.00091,-41.14538,173.00188
Batchelors ford entry,2019-04-02,88,Tasman,Moutere Inlet (Rivermouth),100,10,8,4/2/2019 12:03:00 PM,4/2/2019 12:28:00 PM,21,4/2/2019 12:28:00 PM,4/2/2019 2:42:00 PM,21,Plastic,Plastic vehicle parts,5,4531,High,N/A,-41.14591,173.00091,-41.14538,173.00188
